"x.dashed","y.dashed","x.solid","y.solid"
950,0.9724,950,0.9074
951,0.9729,951,0.9016
952,0.9752,952,0.9072
953,0.9745,953,0.9055
954,0.9731,954,0.9096
955,0.9748,955,0.904
956,0.9763,956,0.9059
957,0.9748,957,0.906
958,0.9722,958,0.9039
959,0.9769,959,0.9027
960,0.9749,960,0.9074
961,0.976,961,0.9102
962,0.976,962,0.9049
963,0.9765,963,0.9064
964,0.9767,964,0.9105
965,0.9758,965,0.9077
966,0.9783,966,0.9105
967,0.9785,967,0.9046
968,0.9784,968,0.9126
969,0.9796,969,0.9081
970,0.9793,970,0.9093
971,0.98,971,0.9068
972,0.9776,972,0.9109
973,0.9791,973,0.908
974,0.981,974,0.9064
975,0.9788,975,0.9109
976,0.977,976,0.9078
977,0.9825,977,0.906
978,0.9794,978,0.9114
979,0.9797,979,0.9102
980,0.9833,980,0.9122
981,0.9791,981,0.9078
982,0.9786,982,0.9056
983,0.9818,983,0.9041
984,0.9813,984,0.9101
985,0.9805,985,0.9092
986,0.9826,986,0.9125
987,0.9813,987,0.9144
988,0.9829,988,0.9113
989,0.9811,989,0.9084
990,0.9826,990,0.9039
991,0.9847,991,0.9095
992,0.9843,992,0.911
993,0.9832,993,0.912
994,0.9837,994,0.914
995,0.9828,995,0.908
996,0.9821,996,0.9113
997,0.9819,997,0.9137
998,0.9827,998,0.914
999,0.9838,999,0.9101
1000,0.9834,1000,0.9079
1001,0.9865,1001,0.9065
1002,0.9839,1002,0.9069
1003,0.9842,1003,0.912
1004,0.986,1004,0.9104
1005,0.984,1005,0.9111
